Jméno,Funkce,Strana/Klub,Kontakt
Adriana Krnáčová,primátor hl. m. Prahy,ANO 2011,e-mail: Adriana.Krnacova@praha.eu
"prof. Ing. Eva Kislingerová, CSc.",náměstek primátora,ANO 2011,e-mail: Eva.Kislingerova@praha.eu
Petr Dolínek,náměstek primátora,ČSSD,e-mail: Petr.Dolinek@praha.eu
PhDr. Matěj Stropnický,náměstek primátora,"TROJKOALICE SZ, KDU-ČSL, STAN",e-mail: Matej.Stropnicky@praha.eu
Bc. Libor Hadrava,radní,ANO 2011,e-mail: Libor.Hadrava@praha.eu
Ing. Michal Hašek,radní,ANO 2011,e-mail: Michal.Hasek@praha.eu
Ing. Radek Lacko,radní,ANO 2011,e-mail: Radek.Lacko@praha.eu
Hana Nováková,radní,ČSSD,e-mail: Hana.Novakova@praha.eu
RNDr. Jana Plamínková,radní,"TROJKOALICE SZ, KDU-ČSL, STAN",e-mail: Jana.Plaminkova@praha.eu
Ing. Mgr. Irena Ropková,radní,ČSSD,e-mail: Irena.Ropkova@praha.eu
Jan Wolf,radní,"TROJKOALICE SZ, KDU-ČSL, STAN",e-mail: Jan.Wolf@praha.eu
