Jméno,Funkce,Strana,
"JUDr. Ing. Miloslav Ludvík, MBA",předseda,ČSSD,zastupitel
RNDr. Jana Plamínková,místopředsedkyně,"TROJKOALICE SZ, KDU-ČSL, STAN",zastupitel
Ing. Jiří Haramul,člen,ANO 2011,zastupitel
Ing. Jiří Hrabák,člen,TOP 09 a nezávislých,zastupitel
PhDr. Lukáš Kaucký,člen,ČSSD,zastupitel
Viktor Mahrik,člen,Piráti,externista
Ing. Ondřej Martan,člen,ODS,zastupitel
Radomír Nepil,člen,ANO 2011,zastupitel
Ing. Jiří Nouza,člen,TOP 09 a nezávislých,zastupitel
"Ing. Patrik Paneš, Ph.D.",tajemník,,zaměstnanec
