Jméno,Funkce,Strana,
"Mgr. Petr Štěpánek, CSc.",předseda,"TROJKOALICE SZ, KDU-ČSL, STAN",zastupitel
Daniel Hodek,místopředseda,ČSSD,zastupitel
JUDr. Ivan Hrůza,člen,KSČM,zastupitel
Ing. Vladislava Hujová,členka,TOP 09 a nezávislých,zastupitel
Ing. Antonín Lébl,člen,ANO 2011,zastupitel
"Mgr. Ondřej Mirovský, M.EM",člen,"TROJKOALICE SZ, KDU-ČSL, STAN",zastupitel
Mgr. Petr Prchal,člen,TOP 09 a nezávislých,zastupitel
"Doc. MUDr. Bohuslav Svoboda, CSc.",člen,ODS,zastupitel
Jaroslav Štěpánek,člen,ANO 2011,zastupitel
Bc. Josef Macháček,tajemník,,zaměstnanec
