Jméno,Funkce,Strana,
Ing. Jarmila Bendová,předsedkyně,ANO 2011,zastupitel
"Mgr. Ondřej Mirovský, M.EM",místopředseda,"TROJKOALICE SZ, KDU-ČSL, STAN",zastupitel
Ing. Karel Březina,člen,ČSSD,zastupitel
Mgr. Petr Bříza,člen,TOP 09 a nezávislých,zastupitel
Ing. Marek Doležal,člen,TOP 09 a nezávislých,zastupitel
Ing. Michal Hašek,člen,ANO 2011,zastupitel
Filip Humplík,člen,ODS,zastupitel
Mgr. Petra Kolínská,členka,"TROJKOALICE SZ, KDU-ČSL, STAN",zastupitel
Petr Šimůnek,člen,KSČM,zastupitel
Ing. Jan Marek,tajemník,,zaměstnanec
