Jméno,Funkce,Strana,
MgA. Eliška Kaplický Fuchsová,předsedkyně,ANO 2011,zastupitel
PhDr. Lukáš Kaucký,místopředseda,ČSSD,zastupitel
PhDr. Helena Briardová,členka,KSČM,zastupitel
Ing. Karel Grabein Procházka,člen,ANO 2011,zastupitel
JUDr. Jaroslava Janderová,členka,ODS,zastupitel
"prof. Ing. Eva Kislingerová, CSc.",členka,ANO 2011,zastupitel
Mgr. Albert Kubišta,člen,TOP 09 a nezávislých,zastupitel
Ing. Václav Novotný,člen,TOP 09 a nezávislých,zastupitel
PhDr. Matěj Stropnický,člen,"TROJKOALICE SZ, KDU-ČSL, STAN",zastupitel
Mgr. Zuzana Navrátilová,tajemnice,,zaměstnanec
