Jméno,Funkce,Strana,
Mgr. Petra Kolínská,předsedkyně,"TROJKOALICE SZ, KDU-ČSL, STAN",zastupitel
Ing. Mgr. Irena Ropková,místopředsedkyně,ČSSD,zastupitel
Ing. Jarmila Bendová,členka,ANO 2011,zastupitel
Bc. Libor Hadrava,člen,ANO 2011,zastupitel
Mgr. Lukáš Manhart,člen,TOP 09 a nezávislých,zastupitel
Ing. Alexandra Udženija,členka,ODS,zastupitel
JUDr. Vladislava Veselá,členka,ANO 2011,zastupitel
Ing. Eva Vorlíčková,členka,TOP 09 a nezávislých,zastupitel
Adam Zábranský,člen,Piráti,zastupitel
JUDr. Richard Mařík,tajemník,,zaměstnanec
