Jméno,Funkce,Strana,
Jan Slezák,předseda,ČSSD,zastupitel
Ing. arch. Martin Polách,místopředseda,ANO 2011,zastupitel
Ing. Karel Březina,člen,ČSSD,zastupitel
Mikuláš Ferjenčík,člen,Piráti,zastupitel
"RNDr. Tomáš Hudeček, Ph.D.",člen,TOP 09 a nezávislých,zastupitel
Ing. Radek Lacko,člen,ANO 2011,zastupitel
Ing. Ondřej Martan,člen,ODS,zastupitel
Ing. Milan Růžička,člen,TOP 09 a nezávislých,zastupitel
Ing. Miloš Růžička,člen,"TROJKOALICE SZ, KDU-ČSL, STAN",zastupitel
Ing. Martin Čemus,tajemník,,zaměstnanec
