Jméno,Funkce,Strana,
Ing. Patrik Nacher,předseda,ANO 2011,zastupitel
Mgr. Jan Čižinský,místopředseda,"TROJKOALICE SZ, KDU-ČSL, STAN",zastupitel
MgA. Eliška Kaplický Fuchsová,členka,ANO 2011,zastupitel
Mgr. Albert Kubišta,člen,TOP 09 a nezávislých,zastupitel
Hana Nováková,členka,ČSSD,zastupitel
RNDr. Marcela Plesníková,členka,ANO 2011,zastupitel
Mgr. Petr Prchal,člen,TOP 09 a nezávislých,zastupitel
Mgr. Marta Semelová,členka,KSČM,zastupitel
Ing. Alexandra Udženija,členka,ODS,zastupitel
PhDr. Tomáš Klinecký,tajemník,,zaměstnanec
