Jméno,Funkce,Strana,
Ing. Miloš Růžička,předseda,"TROJKOALICE SZ, KDU-ČSL, STAN",zastupitel
"JUDr. Ing. Miloslav Ludvík, MBA",místopředseda,ČSSD,zastupitel
PhDr. Helena Briardová,členka,KSČM,zastupitel
"Doc. Ing. Mgr. Martin Dlouhý, Dr., MSc.",člen,TOP 09 a nezávislých,zastupitel
Ing. Marek Doležal,člen,TOP 09 a nezávislých,zastupitel
PharmDr. Petr Fifka,člen,ODS,zastupitel
Bc. Libor Hadrava,člen,ANO 2011,zastupitel
Radomír Nepil,člen,ANO 2011,zastupitel
Ing. arch. Martin Polách,člen,ANO 2011,zastupitel
Ing. Helena Švrčinová,tajemnice,,zaměstnanec
