Jméno,Funkce,Strana,
RNDr. Marcela Plesníková,předsedkyně,ANO 2011,zastupitel
PhDr. Lukáš Kaucký,místopředseda,ČSSD,zastupitel
Ing. Jiří Haramul,člen,ANO 2011,zastupitel
Filip Humplík,člen,ODS,zastupitel
Ing. Jiří Nouza,člen,TOP 09 a nezávislých,zastupitel
Ing. Pavel Richter,člen,TOP 09 a nezávislých,zastupitel
Ing. Miloš Růžička,člen,"TROJKOALICE SZ, KDU-ČSL, STAN",zastupitel
Petr Šimůnek,člen,KSČM,zastupitel
"Mgr. Petr Štěpánek, CSc.",člen,"TROJKOALICE SZ, KDU-ČSL, STAN",zastupitel
Ing. Monika Kadlecová,tajemnice,,zaměstnanec
