Jméno,Strana,Kontakt
Bc. Alexander Bellu,ODS,Alexander.Bellu@praha.eu
Ing. Jarmila Bendová,ANO 2011,Jarmila.Bendova@praha.eu
PhDr. Helena Briardová,KSČM,Helena.Briardova@praha.eu
Ing. Karel Březina,ČSSD,Karel.Brezina@praha.eu
Mgr. Petr Bříza,TOP 09 a nezávislých,Petr.Briza@praha.eu
Mgr. Jan Čižinský,"TROJKOALICE SZ, KDU-ČSL, STAN",Jan.Cizinsky@praha.eu
"Doc. Ing. Mgr. Martin Dlouhý, Dr., MSc.",TOP 09 a nezávislých,Martin.Dlouhy@praha.eu
Ing. Marek Doležal,TOP 09 a nezávislých,Marek.Dolezal@praha.eu
Petr Dolínek,ČSSD,Petr.Dolinek@praha.eu
Mikuláš Ferjenčík,Piráti,Mikulas.Ferjencik@praha.eu
PharmDr. Petr Fifka,ODS,Petr.Fifka@praha.eu
Ing. Karel Grabein Procházka,ANO 2011,Karel.Grabein.Prochazka@praha.eu
Bc. Libor Hadrava,ANO 2011,Libor.Hadrava@praha.eu
Ing. Jiří Haramul,ANO 2011,Jiri.Haramul@praha.eu
Ing. Michal Hašek,ANO 2011,Michal.Hasek@praha.eu
Daniel Hodek,ČSSD,Daniel.Hodek@praha.eu
Ing. Jiří Hrabák,TOP 09 a nezávislých,Jiri.Hrabak@praha.eu
JUDr. Ivan Hrůza,KSČM,Ivan.Hruza@praha.eu
"RNDr. Tomáš Hudeček, Ph.D.",TOP 09 a nezávislých,Tomas.Hudecek@praha.eu
Ing. Vladislava Hujová,TOP 09 a nezávislých,Vladislava.Hujova@praha.eu
Filip Humplík,ODS,Filip.Humplik@praha.eu
JUDr. Jaroslava Janderová,ODS,Jaroslava.Janderova@praha.eu
Tomáš Jílek,TOP 09 a nezávislých,Tomas.Jilek@praha.eu
MgA. Eliška Kaplický Fuchsová,ANO 2011,Eliska.Kaplicky.Fuchsova@praha.eu
PhDr. Lukáš Kaucký,ČSSD,Lukas.Kaucky@praha.eu
"prof. Ing. Eva Kislingerová, CSc.",ANO 2011,Eva.Kislingerova@praha.eu
Mgr. Petra Kolínská,"TROJKOALICE SZ, KDU-ČSL, STAN",Petra.Kolinska@praha.eu
Adriana Krnáčová,ANO 2011,Adriana.Krnacova@praha.eu
JUDr. Monika Krobová Hášová,,Monika.Krobova.Hasova@praha.eu
Mgr. Albert Kubišta,TOP 09 a nezávislých,Albert.Kubista@praha.eu
Ing. Radek Lacko,ANO 2011,Radek.Lacko@praha.eu
Ing. Antonín Lébl,ANO 2011,Antonin.Lebl@praha.eu
"JUDr. Ing. Miloslav Ludvík, MBA",ČSSD,Miloslav.Ludvik@praha.eu
Mgr. Lukáš Manhart,TOP 09 a nezávislých,Lukas.Manhart@praha.eu
Ing. Ondřej Martan,ODS,Ondrej.Martan@praha.eu
Mgr. Bc. Jakub Michálek,Piráti,Jakub.Michalek@praha.eu
"Mgr. Ondřej Mirovský, M.EM","TROJKOALICE SZ, KDU-ČSL, STAN",Ondrej.Mirovsky@praha.eu
Ing. Patrik Nacher,ANO 2011,Patrik.Nacher@praha.eu
Radomír Nepil,ANO 2011,Radomir.Nepil@praha.eu
Ing. Jiří Nouza,TOP 09 a nezávislých,Jiri.Nouza@praha.eu
Hana Nováková,ČSSD,Hana.Novakova@praha.eu
Ing. Václav Novotný,TOP 09 a nezávislých,Vaclav.Novotny@praha.eu
JUDr. Petr Novotný,ANO 2011,Petr.Novotny@praha.eu
RNDr. Jana Plamínková,"TROJKOALICE SZ, KDU-ČSL, STAN",Jana.Plaminkova@praha.eu
RNDr. Marcela Plesníková,ANO 2011,Marcela.Plesnikova@praha.eu
Ing. arch. Martin Polách,ANO 2011,Martin.Polach@praha.eu
Mgr. Petr Prchal,TOP 09 a nezávislých,Petr.Prchal@praha.eu
Ondřej Profant,Piráti,Ondrej.Profant@praha.eu
Ing. Pavel Richter,TOP 09 a nezávislých,Pavel.Richter@praha.eu
Ing. Mgr. Irena Ropková,ČSSD,Irena.Ropkova@praha.eu
Ing. Miloš Růžička,"TROJKOALICE SZ, KDU-ČSL, STAN",Milos.Ruzicka@praha.eu
Ing. Milan Růžička,TOP 09 a nezávislých,Milan.Ruzicka@praha.eu
Mgr. Marta Semelová,KSČM,Marta.Semelova@praha.eu
Jan Slezák,ČSSD,Jan.Slezak@praha.eu
PhDr. Matěj Stropnický,"TROJKOALICE SZ, KDU-ČSL, STAN",Matej.Stropnicky@praha.eu
"Doc. MUDr. Bohuslav Svoboda, CSc.",ODS,Bohuslav.Svoboda@praha.eu
Petr Šimůnek,KSČM,Petr.Simunek@praha.eu
"Mgr. Petr Štěpánek, CSc.","TROJKOALICE SZ, KDU-ČSL, STAN",P.Stepanek@praha.eu
Jaroslav Štěpánek,ANO 2011,Jaroslav.Stepanek@praha.eu
František Švarc,ODS,Frantisek.Svarc@praha.eu
Ing. Alexandra Udženija,ODS,Aleksandra.Udzenija@praha.eu
JUDr. Vladislava Veselá,ANO 2011,Vladislava.Vesela@praha.eu
Ing. Eva Vorlíčková,TOP 09 a nezávislých,Eva.Vorlickova@praha.eu
Jan Wolf,"TROJKOALICE SZ, KDU-ČSL, STAN",Jan.Wolf@praha.eu
Adam Zábranský,Piráti,Adam.Zabransky@praha.eu
