Jméno,Strana
Ambrož Pavel,KSČM
Bellu Alexander Bc.,ODS
"Dlouhý Martin doc.Ing.Mgr. Dr.,MSc.",TOP 09
Fabík Miroslav,TOP 09
Ganická Helena Mgr,Ž(n)S
Gregor David,ČSSD
Haupt Lukáš Bc.,Ž(n)S
Holeček Ivan MgA.,ČSSD
Hronová Alena Mgr.,KSČM
Hujová Vladislava Ing.,TOP 09
Chmelová Martina Mgr.,Ž(n)S
Kalivoda Tomáš Bc.,ODS
"Materna Jan RNDr., Ph.D.",TOP 09
Mikeska Tomáš Ing,Ž(n)S
Mikuláš Mojmír Ing.,Strana svobodných občanů
Neusser Filip,Ž(n)S
Oubrechtová Miroslava,ČSSD
Papež Michal,ODS
Pećicová Gabriela PhDr.,ODS
Popov Simeon Mgr.,TOP 09
Procházka Miroslav MUDr.,Volba pro město – nezávislí kandidáti
Ropková Irena Ing. Mgr.,ČSSD
Rut Ondřej Mgr.,Ž(n)S
Říha Vladimír MUDr.,Ž(n)S
Říhová Lýdia PhDr. Ph.D.,Ž(n)S
"Stropnický Matěj, PhDr.",Ž(n)S
Suková Jaroslava Mgr.,TOP 09
Sunegha Tomáš JUDr.,Ž(n)S
Škapová Světlana Ing.,TOP 09
Štampach Tomáš Bc.,Strana svobodných občanů
Vítkovská Lucie Mgr.,ODS
Vokál Jan Ing.,TOP 09
Vrabcová Marta Bc.,Volba pro město – nezávislí kandidáti
Zábojník Zdeněk Ing. MBA,ČSSD
Zachariášová Lucia JUDr.,Ž(n)S
